Subcategory,CategoryName,Priority,Url
"Computers, Tablets & Networks - Electronics","Drives, Storage & Blank Media - Computers, Tablets & Networks",2,https://www.ebay.co.uk/b/Computer-Drives-Storage-Blank-Media/165/bn_780242
"Computers, Tablets & Networks - Electronics","Home Networking - Computers, Tablets & Networks",2,https://www.ebay.co.uk/b/Home-Networking-Connectivity/11176/bn_1630140
"Computers, Tablets & Networks - Electronics","Keyboards, Mice & Pointers - Computers, Tablets & Networks",2,https://www.ebay.co.uk/b/Computer-Keyboards-Mice-Pointers/3676/bn_1633017
"Computers, Tablets & Networks - Electronics","Laptops & Desktop Accs. - Computers, Tablets & Networks",2,https://www.ebay.co.uk/b/Laptop-Desktop-Accessories/31530/bn_661714
"Computers, Tablets & Networks - Electronics","Laptops & Netbooks - Computers, Tablets & Networks",2,https://www.ebay.co.uk/b/Laptops-Netbooks/175672/bn_1631140
"Computers, Tablets & Networks - Electronics","Manuals & Resources - Computers, Tablets & Networks",2,https://www.ebay.co.uk/b/Computer-Tablet-Networking-Manuals-Resources/3516/bn_572481
"Computers, Tablets & Networks - Electronics","Tablet & eBook Reader Parts - Computers, Tablets & Networks",2,https://www.ebay.co.uk/b/Tablet-eBook-Reader-Parts/180235/bn_1841111
"Computers, Tablets & Networks - Electronics","Vintage Computing - Computers, Tablets & Networks",2,https://www.ebay.co.uk/b/Vintage-Computers-Mainframes/162075/bn_572462
Sound & Vision - Electronics,"DVD, Blu-ray & Home Cinema - Sound & Vision",2,https://www.ebay.co.uk/b/DVD-Blu-ray-Home-Cinema/32852/bn_1632441
Sound & Vision - Electronics,Headphones - Sound & Vision,2,https://www.ebay.co.uk/b/Headphones/112529/bn_877754
Sound & Vision - Electronics,Home Audio & HiFi Separates - Sound & Vision,2,https://www.ebay.co.uk/b/Home-Audio-HiFi-Separates/14969/bn_1838773
Sound & Vision - Electronics,Multipurpose Batteries and Power - Sound & Vision,2,https://www.ebay.co.uk/b/Multipurpose-Batteries-Power/48446/bn_1630451
Sound & Vision - Electronics,Other Sound & Vision - Sound & Vision,2,https://www.ebay.co.uk/b/Other-Sound-Vision/175837/bn_1842037
Sound & Vision - Electronics,Performance & DJ Equipment - Sound & Vision,2,https://www.ebay.co.uk/b/Performance-DJ-Equipment/48458/bn_1676803
Sound & Vision - Electronics,Portable Disc Players & Radios - Sound & Vision,2,https://www.ebay.co.uk/b/Portable-Disc-Players-Radios/175747/bn_1632017
Sound & Vision - Electronics,Smart Glasses - Sound & Vision,2,https://www.ebay.co.uk/b/Smart-Glasses/178894/bn_1842027
Sound & Vision - Electronics,Sound & Vision Manuals & Resources - Sound & Vision,2,https://www.ebay.co.uk/b/Sound-Vision-Manuals-Resources/48644/bn_1840124
Sound & Vision - Electronics,TV & Home Audio Accessories - Sound & Vision,2,https://www.ebay.co.uk/b/TV-Home-Audio-Accessories/14961/bn_1839784
Sound & Vision - Electronics,TV Reception & Set-Top Boxes - Sound & Vision,2,https://www.ebay.co.uk/b/TV-Reception-Set-Top-Boxes/15069/bn_1838822
Sound & Vision - Electronics,"TV, Home & Audio Accessories - Sound & Vision",2,https://www.ebay.co.uk/b/TV-Home-Audio-Accessories/14961/bn_1839784
Sound & Vision - Electronics,Televisions - Sound & Vision,2,https://www.ebay.co.uk/b/Televisions/11071/bn_1839641
Sound & Vision - Electronics,Vintage Sound and Vision - Sound & Vision,2,https://www.ebay.co.uk/b/Vintage-Sound-Vision/175740/bn_1634826
Sound & Vision - Electronics,iPod & MP3 Player Accessories - Sound & Vision,2,https://www.ebay.co.uk/b/iPod-and-MP3-Player-Accessories/56169/bn_877451
Sound & Vision - Electronics,iPods & MP3 Players - Sound & Vision,2,https://www.ebay.co.uk/b/MP3-Players/73839/bn_875530
Video Games & Consoles - Electronics,Prepaid Gaming Cards - Video Games & Consoles,2,https://www.ebay.co.uk/b/Prepaid-Gaming-Cards/156597/bn_1838659
"Sporting Goods - Sports, Hobbies & Leisure",American Football - Sporting Goods,2,https://www.ebay.co.uk/b/American-Football/21214/bn_1839255
"Sporting Goods - Sports, Hobbies & Leisure",Archery - Sporting Goods,2,https://www.ebay.co.uk/b/Archery/20835/bn_1842026
"Sporting Goods - Sports, Hobbies & Leisure",Badminton - Sporting Goods,2,https://www.ebay.co.uk/b/Badminton/106460/bn_1841462
"Sporting Goods - Sports, Hobbies & Leisure",Baseball - Sporting Goods,2,https://www.ebay.co.uk/b/Baseball-Softball/16021/bn_1841449
"Sporting Goods - Sports, Hobbies & Leisure",Basketball - Sporting Goods,2,https://www.ebay.co.uk/b/Basketball/21194/bn_1839444
"Sporting Goods - Sports, Hobbies & Leisure",Bowling (Ten-Pin) - Sporting Goods,2,https://www.ebay.co.uk/b/Ten-Pin-Bowling/20846/bn_1841139
"Sporting Goods - Sports, Hobbies & Leisure",Bowls - Sporting Goods,2,https://www.ebay.co.uk/b/Bowls-Lawn/117103/bn_1838601
"Sporting Goods - Sports, Hobbies & Leisure",Boxing - Sporting Goods,2,https://www.ebay.co.uk/b/Boxing/30100/bn_1841469
"Sporting Goods - Sports, Hobbies & Leisure",Camping & Hiking - Sporting Goods,2,https://www.ebay.co.uk/b/Camping-Hiking-Goods/16034/bn_1841706
"Sporting Goods - Sports, Hobbies & Leisure",Canoeing & Kayaking - Sporting Goods,2,https://www.ebay.co.uk/b/Canoeing-Kayaking/36121/bn_1841498
"Sporting Goods - Sports, Hobbies & Leisure",Climbing / Mountaineering - Sporting Goods,2,https://www.ebay.co.uk/b/Climbing-Mountaineering/30105/bn_1842028
"Sporting Goods - Sports, Hobbies & Leisure",Cricket - Sporting Goods,2,https://www.ebay.co.uk/b/Cricket/21557/bn_1839865
